"index"	"date"	"open"	"closed"	"difference"
2441	Oct 03 2011	1661.00	1614.70	46.3
2442	Sep 29 2011	1620.80	1620.40	0.4
2443	Sep 28 2011	1604.00	1615.50	-11.5
2444	Sep 27 2011	1650.00	1616.30	33.7
2445	Sep 26 2011	1653.80	1650.60	3.2
2446	Sep 22 2011	1737.30	1637.50	99.8
2447	Sep 21 2011	1773.20	1739.20	34
2448	Sep 20 2011	1808.00	1805.50	2.5
2449	Sep 19 2011	1778.80	1806.60	-27.8
2450	Sep 15 2011	1768.50	1812.10	-43.6
2451	Sep 14 2011	1816.30	1778.50	37.8
2452	Sep 13 2011	1843.00	1823.50	19.5
2453	Sep 12 2011	1817.80	1826.80	-9
2454	Sep 08 2011	1858.10	1856.40	1.7
2455	Sep 07 2011	1839.30	1854.40	-15.1
2456	Sep 06 2011	1868.90	1814.20	54.7
2457	Sep 01 2011	1828.60	1873.70	-45.1
2458	Aug 31 2011	1825.80	1826.00	-0.2
2459	Aug 30 2011	1830.60	1828.50	2.1
2460	Aug 29 2011	1787.20	1826.70	-39.5
2461	Aug 25 2011	1768.50	1794.10	-25.6
2462	Aug 24 2011	1748.40	1759.80	-11.4
2463	Aug 23 2011	1833.00	1754.10	78.9
2464	Aug 22 2011	1909.00	1858.30	50.7
2465	Aug 18 2011	1823.70	1848.90	-25.2
2466	Aug 17 2011	1786.50	1818.90	-32.4
2467	Aug 16 2011	1784.80	1791.20	-6.4
2468	Aug 15 2011	1769.00	1782.40	-13.4
2469	Aug 11 2011	1760.60	1740.20	20.4
2470	Aug 10 2011	1795.10	1748.80	46.3
2471	Aug 09 2011	1744.00	1781.30	-37.3
2472	Aug 08 2011	1722.50	1740.00	-17.5
2473	Aug 04 2011	1647.50	1648.80	-1.3
2474	Aug 03 2011	1660.50	1656.20	4.3
2475	Aug 02 2011	1659.90	1663.40	-3.5
2476	Aug 01 2011	1619.30	1641.90	-22.6
2477	Jul 28 2011	1617.10	1628.30	-11.2
2478	Jul 27 2011	1614.20	1613.40	0.8
2479	Jul 26 2011	1619.70	1615.00	4.7
2480	Jul 25 2011	1609.80	1616.60	-6.8
2481	Jul 21 2011	1588.50	1601.30	-12.8
2482	Jul 20 2011	1598.00	1586.80	11.2
2483	Jul 19 2011	1584.30	1596.70	-12.4
2484	Jul 18 2011	1608.10	1600.90	7.2
2485	Jul 14 2011	1582.30	1589.80	-7.5
2486	Jul 13 2011	1586.30	1589.00	-2.7
2487	Jul 12 2011	1574.00	1585.20	-11.2
2488	Jul 11 2011	1548.20	1561.90	-13.7
2489	Jul 07 2011	1527.00	1541.20	-14.2
2490	Jul 06 2011	1529.10	1530.20	-1.1
2491	Jul 05 2011	1513.70	1528.70	-15
2492	Jun 30 2011	1502.20	1482.30	19.9
2493	Jun 29 2011	1511.50	1502.30	9.2
2494	Jun 28 2011	1504.10	1509.90	-5.8
2495	Jun 27 2011	1499.90	1499.70	0.2
2496	Jun 23 2011	1524.70	1500.50	24.2
2497	Jun 22 2011	1547.20	1520.10	27.1
2498	Jun 21 2011	1547.20	1552.90	-5.7
2499	Jun 20 2011	1540.10	1546.00	-5.9
2500	Jun 16 2011	1523.00	1538.60	-15.6
2501	Jun 15 2011	1526.00	1529.30	-3.3
2502	Jun 14 2011	1525.00	1525.60	-0.6
2503	Jun 13 2011	1517.20	1523.80	-6.6
2504	Jun 09 2011	1543.70	1528.60	15.1
2505	Jun 08 2011	1536.10	1542.10	-6
2506	Jun 07 2011	1544.20	1538.10	6.1
2507	Jun 06 2011	1545.00	1543.30	1.7
2508	Jun 02 2011	1534.70	1541.70	-7
2509	Jun 01 2011	1541.30	1532.00	9.3
2510	May 31 2011	1535.70	1542.40	-6.7
2511	May 26 2011	1519.40	1536.30	-16.9
2512	May 25 2011	1521.20	1522.80	-1.6
2513	May 24 2011	1526.40	1526.60	-0.2
2514	May 23 2011	1527.10	1523.20	3.9
2515	May 19 2011	1499.00	1508.80	-9.8
2516	May 18 2011	1491.50	1492.20	-0.7
2517	May 17 2011	1496.40	1495.60	0.8
2518	May 16 2011	1489.80	1479.80	10
2519	May 12 2011	1503.50	1493.40	10.1
2520	May 11 2011	1492.10	1506.60	-14.5
2521	May 10 2011	1524.00	1501.10	22.9
2522	May 09 2011	1508.40	1516.60	-8.2
2523	May 05 2011	1473.20	1491.20	-18
2524	May 04 2011	1514.70	1480.90	33.8
2525	May 03 2011	1535.00	1514.90	20.1
2526	May 02 2011	1542.50	1540.10	2.4
2527	Apr 28 2011	1538.70	1556.00	-17.3
2528	Apr 27 2011	1528.60	1530.80	-2.2
2529	Apr 26 2011	1507.10	1516.70	-9.6
2530	Apr 25 2011	1501.50	1503.00	-1.5
2531	Apr 20 2011	1503.70	1503.20	0.5
2532	Apr 19 2011	1494.00	1498.30	-4.3
2533	Apr 18 2011	1493.30	1494.50	-1.2
2534	Apr 14 2011	1477.60	1485.30	-7.7
2535	Apr 13 2011	1456.80	1471.70	-14.9
2536	Apr 12 2011	1455.00	1454.90	0.1
2537	Apr 11 2011	1461.80	1452.90	8.9
2538	Apr 07 2011	1457.60	1473.40	-15.8
2539	Apr 06 2011	1459.70	1458.50	1.2
2540	Apr 05 2011	1456.90	1457.70	-0.8
2541	Apr 04 2011	1437.90	1451.80	-13.9
2542	Mar 31 2011	1433.40	1428.10	5.3
2543	Mar 30 2011	1423.30	1438.90	-15.6
2544	Mar 29 2011	1418.70	1423.80	-5.1
2545	Mar 28 2011	1416.00	1416.00	0
2546	Mar 24 2011	1436.00	1426.10	9.9
2547	Mar 23 2011	1437.70	1434.80	2.9
2548	Mar 22 2011	1432.20	1437.90	-5.7
2549	Mar 21 2011	1430.40	1427.50	2.9
2550	Mar 17 2011	1406.40	1415.90	-9.5
2551	Mar 16 2011	1387.70	1404.00	-16.3
2552	Mar 15 2011	1398.00	1396.00	2
2553	Mar 14 2011	1413.30	1392.60	20.7
2554	Mar 11 2011	1413.70	1421.50	-7.8
2555	Mar 10 2011	1429.50	1412.20	17.3
2556	Mar 09 2011	1430.00	1429.30	0.7
2557	Mar 08 2011	1431.60	1426.90	4.7
2558	Mar 07 2011	1434.50	1434.10	0.4
2559	Mar 04 2011	1418.90	1428.20	-9.3
2560	Mar 03 2011	1432.30	1416.00	16.3
2561	Mar 02 2011	1432.50	1437.20	-4.7
2562	Mar 01 2011	1415.30	1430.70	-15.4
2563	Feb 28 2011	1410.70	1409.30	1.4
2564	Feb 25 2011	1401.70	1408.70	-7
2565	Feb 24 2011	1415.10	1415.30	-0.2
2566	Feb 23 2011	1397.80	1413.40	-15.6
2567	Feb 22 2011	1395.10	1400.50	-5.4
2568	Feb 18 2011	1384.10	1388.20	-4.1
2569	Feb 17 2011	1377.70	1384.70	-7
2570	Feb 16 2011	1373.60	1374.70	-1.1
2571	Feb 15 2011	1361.60	1373.60	-12
2572	Feb 14 2011	1357.80	1364.60	-6.8
2573	Feb 11 2011	1364.00	1359.90	4.1
2574	Feb 10 2011	1364.30	1361.90	2.4
2575	Feb 09 2011	1362.80	1364.80	-2
2576	Feb 08 2011	1351.20	1363.40	-12.2
2577	Feb 07 2011	1345.80	1347.60	-1.8
2578	Feb 04 2011	1354.80	1348.30	6.5
2579	Feb 03 2011	1335.60	1352.30	-16.7
2580	Feb 02 2011	1344.00	1331.50	12.5
2581	Feb 01 2011	1333.10	1339.60	-6.5
2582	Jan 31 2011	1339.00	1333.80	5.2
2583	Jan 28 2011	1314.00	1340.70	-26.7
2584	Jan 27 2011	1342.00	1318.40	23.6
2585	Jan 26 2011	1333.00	1333.00	0
2586	Jan 25 2011	1330.40	1332.30	-1.9
2587	Jan 24 2011	1352.30	1344.50	7.8
2588	Jan 21 2011	1341.70	1341.00	0.7
2589	Jan 20 2011	1367.70	1346.50	21.2
