"index"	"date"	"open"	"closed"	"difference"
2170	Dec 31 2012	1.3228	1.3228	0
2171	Dec 28 2012	1.3249	1.3250	-0.0001
2172	Dec 27 2012	1.3228	1.3226	0.0002
2173	Dec 26 2012	1.3182	1.3180	0.0002
2174	Dec 24 2012	1.3182	1.3182	0
2175	Dec 21 2012	1.3238	1.3238	0
2176	Dec 20 2012	1.3214	1.3215	-0.0001
2177	Dec 19 2012	1.3231	1.3231	0
2178	Dec 18 2012	1.3165	1.3165	0
2179	Dec 17 2012	1.3167	1.3166	0.0001
2180	Dec 14 2012	1.3079	1.3079	0
2181	Dec 13 2012	1.3067	1.3067	0
2182	Dec 12 2012	1.3012	1.3013	-0.0001
2183	Dec 11 2012	1.2938	1.2938	0
2184	Dec 10 2012	1.2907	1.2906	0.0001
2185	Dec 07 2012	1.2963	1.2963	0
2186	Dec 06 2012	1.3070	1.3070	0
2187	Dec 05 2012	1.3099	1.3099	0
2188	Dec 03 2012	1.2997	1.2997	0
2189	Nov 30 2012	1.2974	1.2974	0
2190	Nov 29 2012	1.2953	1.2953	0
2191	Nov 28 2012	1.2938	1.2938	0
2192	Nov 27 2012	1.2990	1.2987	0.0003
2193	Nov 26 2012	1.2973	1.2966	0.0007
2194	Nov 23 2012	1.2875	1.2875	0
2195	Nov 21 2012	1.2814	1.2814	0
2196	Nov 20 2012	1.2767	1.2769	-0.0002
2197	Nov 19 2012	1.2760	1.2759	0.0001
2198	Nov 16 2012	1.2783	1.2784	-0.0001
2199	Nov 15 2012	1.2729	1.2732	-0.0003
2200	Nov 14 2012	1.2711	1.2710	0.0001
2201	Nov 13 2012	1.2710	1.2710	0
2202	Nov 12 2012	1.2724	1.2724	0
2203	Nov 09 2012	1.2744	1.2745	-0.0001
2204	Nov 08 2012	1.2756	1.2760	-0.0004
2205	Nov 07 2012	1.2809	1.2808	0.0001
2206	Nov 06 2012	1.2802	1.2802	0
2207	Nov 05 2012	1.2825	1.2828	-0.0003
2208	Nov 01 2012	1.2965	1.2965	0
2209	Oct 31 2012	1.2962	1.2963	-0.0001
2210	Oct 25 2012	1.2938	1.2938	0
2211	Oct 24 2012	1.2965	1.2965	0
2212	Oct 23 2012	1.2974	1.2974	0
2213	Oct 22 2012	1.3070	1.3070	0
2214	Oct 18 2012	1.3070	1.3069	0.0001
2215	Oct 17 2012	1.3116	1.3116	0
2216	Oct 16 2012	1.3108	1.3108	0
2217	Oct 15 2012	1.2968	1.2968	0
2218	Oct 11 2012	1.2933	1.2933	0
2219	Oct 10 2012	1.2860	1.2858	0.0002
2220	Oct 09 2012	1.2858	1.2858	0
2221	Oct 08 2012	1.2977	1.2977	0
2222	Oct 04 2012	1.3016	1.3017	-0.0001
2223	Oct 03 2012	1.2925	1.2923	0.0002
2224	Oct 02 2012	1.2915	1.2917	-0.0002
2225	Oct 01 2012	1.2888	1.2888	0
2226	Sep 27 2012	1.2913	1.2913	0
2227	Sep 26 2012	1.2882	1.2882	0
2228	Sep 25 2012	1.2900	1.2900	0
2229	Sep 24 2012	1.2942	1.2942	0
2230	Sep 20 2012	1.2974	1.2974	0
2231	Sep 19 2012	1.3058	1.3058	0
2232	Sep 18 2012	1.3046	1.3046	0
2233	Sep 17 2012	1.3110	1.3110	0
2234	Sep 13 2012	1.2994	1.2994	0
2235	Sep 12 2012	1.2903	1.2903	0
2236	Sep 11 2012	1.2852	1.2852	0
2237	Sep 10 2012	1.2762	1.2762	0
2238	Sep 06 2012	1.2633	1.2633	0
2239	Sep 05 2012	1.2602	1.2602	0
2240	Sep 04 2012	1.2538	1.2534	0.0004
2241	Aug 30 2012	1.2511	1.2511	0
2242	Aug 29 2012	1.2531	1.2531	0
2243	Aug 28 2012	1.2572	1.2572	0
2244	Aug 27 2012	1.2502	1.2502	0
2245	Aug 23 2012	1.2561	1.2561	0
2246	Aug 22 2012	1.2534	1.2534	0
2247	Aug 21 2012	1.2477	1.2477	0
2248	Aug 20 2012	1.2352	1.2353	-0.0001
2249	Aug 16 2012	1.2358	1.2358	0
2250	Aug 15 2012	1.2290	1.2290	0
2251	Aug 14 2012	1.2326	1.2326	0
